city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
0.7759999999999999,0,0,0,0,0,15,0,0,10,47,0.0
0.624,0,0,1,0,0,5,0,0,0,83,0.0
0.789,0,0,1,0,3,0,0,0,0,52,1.0
0.767,0,1,0,1,0,1,0,1,4,8,0.0
0.764,0,1,2,0,0,11,0,1,1,24,1.0
0.92,0,1,0,2,0,5,0,1,1,24,0.0
0.762,0,1,0,0,0,13,5,0,10,18,1.0
0.92,0,1,0,0,0,7,0,0,1,46,1.0
0.92,0,1,0,0,0,17,2,0,10,123,0.0
0.624,0,0,1,2,0,2,2,0,0,32,1.0
0.92,0,1,0,0,0,5,7,0,1,108,0.0
0.913,0,1,0,0,0,1,4,0,3,23,0.0
0.624,0,0,0,0,0,2,4,0,0,24,0.0
0.624,0,0,1,2,0,5,4,0,0,26,0.0
0.926,0,1,0,0,0,16,3,0,10,18,0.0
0.92,0,1,0,0,0,1,0,0,0,106,0.0
0.624,0,1,0,0,0,2,7,0,2,7,0.0
0.624,0,1,0,0,0,7,2,0,0,23,1.0
0.8270000000000001,1,1,0,0,4,4,2,0,1,132,1.0
0.843,0,1,0,1,0,11,1,0,1,68,0.0
0.926,0,1,0,1,0,11,1,0,2,50,0.0
0.804,0,1,0,1,0,10,1,0,1,48,0.0
0.7759999999999999,0,1,0,0,1,0,4,0,1,65,0.0
0.624,0,1,0,0,0,5,4,0,1,13,0.0
0.855,0,0,0,2,0,4,4,0,0,22,0.0
0.624,0,1,2,0,0,14,6,0,1,148,1.0
0.92,0,1,0,0,4,5,6,0,2,72,0.0
0.887,0,1,0,2,4,11,5,0,1,8,1.0
0.624,0,1,0,0,0,18,0,1,2,68,1.0
0.92,0,1,0,0,0,1,1,0,3,40,0.0
0.92,0,1,2,0,0,19,7,0,10,141,0.0
0.92,1,0,1,0,0,5,7,0,1,24,0.0
0.92,1,1,0,0,0,1,1,0,10,82,0.0
0.91,0,1,0,0,3,12,7,0,3,145,0.0
0.92,0,1,0,0,0,10,3,3,2,206,0.0
0.926,0,0,2,2,0,1,2,5,1,152,0.0
0.926,0,1,0,3,0,1,1,0,4,42,1.0
0.92,0,0,0,0,0,12,1,0,4,50,0.0
0.884,0,0,0,0,0,3,1,0,0,106,0.0
0.926,1,1,1,1,0,16,4,2,2,14,0.0
0.924,0,1,0,2,0,4,3,0,2,36,0.0
0.624,0,1,0,1,0,6,0,3,1,112,1.0
0.6659999999999999,0,0,0,0,5,9,0,0,0,108,0.0
0.624,0,1,2,1,0,9,7,0,3,7,1.0
0.624,1,0,1,1,0,5,7,0,0,26,1.0
0.624,0,1,0,0,0,5,1,0,0,87,1.0
0.92,2,1,0,0,0,19,2,2,4,52,1.0
0.5579999999999999,0,1,0,0,5,15,2,2,10,20,1.0
0.923,0,1,0,0,0,11,3,0,1,21,0.0
0.5579999999999999,0,0,0,0,0,4,3,0,1,92,1.0
0.6659999999999999,0,1,0,0,0,10,1,0,2,102,0.0
0.794,0,0,0,0,1,5,2,0,10,26,0.0
0.924,0,1,0,1,0,3,5,3,2,7,0.0
0.926,0,0,1,2,0,4,2,0,1,43,0.0
0.924,0,1,0,0,0,1,1,0,1,45,0.0
0.754,0,1,1,0,0,2,0,3,2,52,0.0
0.92,0,1,0,0,0,1,0,3,2,19,0.0
0.624,0,1,1,0,0,2,3,1,2,32,1.0
0.767,0,1,0,0,1,1,1,0,10,26,1.0
0.855,0,1,2,0,0,6,1,0,1,90,0.0
0.939,0,1,0,0,0,6,1,0,3,25,0.0
0.8270000000000001,0,1,0,1,0,13,5,0,1,15,0.0
0.887,0,1,0,1,1,1,1,0,10,48,0.0
0.55,0,0,1,2,1,3,1,0,10,98,0.0
0.865,0,1,0,0,0,10,0,0,2,142,1.0
0.855,2,0,0,1,1,4,2,0,4,13,0.0
0.91,0,1,0,0,0,15,2,0,10,47,0.0
0.91,1,1,0,1,1,14,6,2,1,28,0.0
0.698,1,0,0,1,1,2,6,0,0,228,1.0
0.6659999999999999,0,1,0,0,0,1,6,0,4,22,0.0
0.624,0,0,1,0,0,0,6,0,0,18,1.0
0.8270000000000001,0,1,0,0,0,2,3,0,1,29,0.0
0.855,0,1,0,1,0,5,1,0,1,46,0.0
0.55,0,0,1,0,0,0,1,0,0,12,0.0
0.92,0,1,0,0,0,5,1,0,2,17,0.0
0.893,0,1,0,1,0,5,0,0,2,65,0.0
0.92,0,0,0,0,1,3,1,0,1,35,0.0
0.855,0,0,1,0,0,9,2,0,3,14,0.0
0.92,1,1,0,1,0,2,5,3,1,4,0.0
0.92,0,1,0,0,0,15,0,0,10,12,0.0
0.92,0,1,0,0,0,1,0,0,2,108,0.0
0.92,0,0,0,0,0,1,0,0,1,136,0.0
0.92,0,1,0,0,0,5,3,0,1,27,0.0
0.7959999999999999,0,1,2,1,0,4,0,1,1,74,0.0
0.884,0,1,0,0,0,15,3,3,1,86,0.0
0.866,1,0,2,0,0,0,3,0,2,83,0.0
0.92,1,0,1,2,0,4,3,0,3,75,0.0
0.698,0,0,1,1,0,11,3,2,2,42,0.0
0.92,1,1,0,0,0,6,1,2,1,332,0.0
0.913,0,0,1,0,0,4,1,2,1,140,0.0
0.91,0,0,0,2,0,3,1,2,0,182,0.0
0.92,1,0,0,0,1,3,1,0,1,13,1.0
0.682,1,1,0,0,0,5,3,0,2,172,1.0
0.92,1,1,0,0,0,10,1,4,1,48,0.0
0.802,0,1,1,0,0,9,0,0,1,33,0.0
0.92,0,0,1,2,0,2,1,0,1,142,0.0
0.579,0,0,1,0,0,2,1,0,1,34,0.0
0.802,0,1,0,0,0,6,0,0,2,14,1.0
0.55,0,1,0,0,0,6,3,0,2,27,1.0
0.55,0,1,0,0,0,8,1,0,1,24,1.0
0.878,0,0,0,1,0,1,1,0,1,150,0.0
0.92,1,1,0,0,0,11,6,4,10,20,0.0
0.92,1,1,0,0,0,5,6,4,1,140,0.0
0.91,0,1,0,0,0,12,7,0,1,52,0.0
0.939,0,1,0,0,0,1,0,0,2,160,0.0
0.897,0,1,0,1,0,9,7,0,2,3,0.0
0.624,0,1,0,0,0,2,5,0,2,2,1.0
0.91,0,1,0,0,0,1,4,0,10,28,0.0
0.754,0,1,0,0,2,1,4,0,4,46,0.0
0.855,0,1,0,0,0,8,0,0,1,210,0.0
0.926,0,1,0,0,0,10,5,0,1,36,0.0
0.949,0,0,1,0,0,4,5,0,1,160,1.0
0.624,0,1,1,0,0,2,3,4,2,101,0.0
0.926,0,1,0,1,0,6,0,4,1,46,0.0
0.925,0,1,0,0,0,1,4,0,10,19,0.0
0.624,0,1,0,0,0,3,1,0,2,26,1.0
0.698,0,1,1,0,0,7,5,4,1,90,0.0
0.8959999999999999,0,1,0,0,0,9,5,0,4,59,0.0
0.92,0,1,2,0,3,10,0,1,1,260,0.0
0.624,1,1,0,0,0,11,0,0,10,74,0.0
0.91,0,1,0,3,0,1,1,0,2,20,1.0
0.878,0,1,0,0,0,12,1,0,2,8,0.0
0.92,0,1,0,0,0,6,1,0,1,131,0.0
0.836,0,1,1,1,0,7,1,0,1,45,0.0
0.693,0,1,1,0,0,11,3,0,2,109,0.0
0.855,0,1,0,0,1,3,1,0,1,70,0.0
0.92,1,1,0,0,0,1,1,4,10,17,0.0
0.92,1,0,0,1,0,15,0,0,1,51,0.0
0.92,1,1,0,0,0,6,0,0,3,60,1.0
0.893,1,0,0,3,0,1,4,2,10,4,0.0
0.926,0,0,0,0,0,12,1,0,10,7,0.0
0.804,0,1,0,1,0,1,1,0,3,164,0.0
0.6659999999999999,0,1,0,0,0,20,1,0,4,290,0.0
0.804,0,0,0,2,0,2,5,4,0,145,0.0
0.624,0,0,0,2,0,3,5,4,1,24,0.0
0.92,0,0,0,1,1,3,2,0,1,133,1.0
0.55,0,0,1,0,0,2,2,0,1,20,0.0
0.92,0,1,0,0,0,10,5,1,1,76,0.0
0.698,1,0,1,1,0,5,5,1,4,21,1.0
0.624,1,1,0,0,2,8,7,0,2,34,0.0
0.92,0,0,0,0,0,9,5,0,2,15,0.0
0.866,0,0,0,0,0,1,5,0,10,156,0.0
0.92,0,1,0,0,0,1,7,0,10,15,0.0
0.926,0,1,0,1,0,1,7,0,0,120,0.0
0.769,0,1,0,0,5,14,2,0,10,47,0.0
0.754,0,1,0,0,0,12,2,0,2,100,1.0
0.855,0,1,2,0,0,6,6,0,0,102,0.0
0.92,0,0,0,2,0,4,6,0,0,52,0.0
0.926,0,1,0,2,0,9,3,0,4,39,0.0
0.92,0,1,1,2,0,4,3,0,1,112,1.0
0.92,0,0,0,3,0,1,0,0,10,14,0.0
0.91,0,1,0,3,0,11,0,0,1,4,0.0
0.91,0,1,0,1,4,1,4,4,10,55,0.0
0.624,0,1,0,0,0,6,2,0,4,49,1.0
0.91,0,1,0,0,0,15,2,0,10,72,0.0
0.925,0,1,1,0,0,14,7,0,3,141,1.0
0.926,0,0,0,2,0,6,7,0,0,28,0.0
0.92,0,1,0,0,0,13,2,0,1,6,0.0
0.92,0,1,0,0,5,17,7,0,1,125,0.0
0.939,0,1,0,0,0,1,7,0,0,326,0.0
0.92,0,1,0,0,2,1,1,0,2,33,0.0
0.804,0,0,0,1,0,6,2,0,10,40,0.0
0.92,0,1,0,0,0,18,2,0,1,198,1.0
0.92,1,1,0,1,0,15,2,0,10,55,0.0
0.698,0,0,0,0,0,1,6,0,10,32,0.0
0.92,0,1,0,0,4,1,1,0,10,11,0.0
